Param 0: {'tau0': 9.701809206152345e-06, 'xi': 0.09407325991753526, 'q0': 0.3044948820351523, 'alpha': 1.8442079342859672, 'beta': 1.893720745386587, 'rho': 0.3120024078765271, 'ants': 29}
Param 1: {'tau0': 7.271888129177242e-06, 'xi': 0.05984220487362216, 'q0': 0.5127813632941683, 'alpha': 0.28049908432308224, 'beta': 1.9767044196304102, 'rho': 0.05712818954691315, 'ants': 28}
Param 2: {'tau0': 6.651390889237055e-06, 'xi': 0.11158156951036152, 'q0': 0.3891327832249725, 'alpha': 0.5704086329673803, 'beta': 0.45022269695520334, 'rho': 0.05657845121910911, 'ants': 23}
Param 3: {'tau0': 8.93751488559124e-06, 'xi': 0.07498280708831719, 'q0': 0.7003533283222684, 'alpha': 1.84655149702223, 'beta': 0.36999618301213544, 'rho': 0.353807119950786, 'ants': 24}
Param 4: {'tau0': 6.2578016549988135e-06, 'xi': 0.07695855038194482, 'q0': 0.6338595363337294, 'alpha': 1.3781099098119947, 'beta': 1.0918136498914073, 'rho': 0.20985761634934252, 'ants': 15}
Param 5: {'tau0': 6.937615535889433e-06, 'xi': 0.07000322226687372, 'q0': 0.8259328344322499, 'alpha': 1.4144702071977722, 'beta': 1.897582215362626, 'rho': 0.08176475094706645, 'ants': 18}
Param 6: {'tau0': 2.3890526897386258e-06, 'xi': 0.09728269253474063, 'q0': 0.5264084644635578, 'alpha': 0.34480659763074994, 'beta': 1.2781748892293714, 'rho': 0.12380145068388254, 'ants': 25}
Param 7: {'tau0': 3.023061298280671e-06, 'xi': 0.05271286661722294, 'q0': 0.5077385132207571, 'alpha': 0.4440555976676415, 'beta': 1.176945645340894, 'rho': 0.3517258170055353, 'ants': 22}
Param 8: {'tau0': 1.4630188820263259e-06, 'xi': 0.0776783694791692, 'q0': 0.7839075030693623, 'alpha': 0.5603503117369445, 'beta': 0.5204984007438819, 'rho': 0.4796233950660777, 'ants': 12}
Param 9: {'tau0': 8.037069826251222e-06, 'xi': 0.09645020294268639, 'q0': 0.6378636958577493, 'alpha': 1.5874523603304216, 'beta': 1.117749324798499, 'rho': 0.3122873583242921, 'ants': 22}
Param 10: {'tau0': 5.341643627837584e-06, 'xi': 0.12828902895224037, 'q0': 0.5825040751853071, 'alpha': 1.680352012001748, 'beta': 1.7927432976473112, 'rho': 0.24781837895583786, 'ants': 32}
Param 11: {'tau0': 5.726334506587264e-06, 'xi': 0.09378720394945064, 'q0': 0.4650245999867171, 'alpha': 1.6109205787989367, 'beta': 0.9785683305047798, 'rho': 0.3960780669283891, 'ants': 24}
Param 12: {'tau0': 2.0274933728523487e-06, 'xi': 0.13405703789383258, 'q0': 0.526091823657158, 'alpha': 1.6793374858698646, 'beta': 0.6970800710605479, 'rho': 0.13613590490376215, 'ants': 11}
Param 13: {'tau0': 7.35696843598511e-06, 'xi': 0.13099405837312028, 'q0': 0.39430175087041053, 'alpha': 1.838983583452214, 'beta': 0.7213281426644318, 'rho': 0.11968092308615733, 'ants': 31}
Param 14: {'tau0': 3.986574795084688e-06, 'xi': 0.12869898263116974, 'q0': 0.7324104580466773, 'alpha': 0.38736117587741714, 'beta': 0.6247624947394189, 'rho': 0.4525392981526261, 'ants': 9}
Param 15: {'tau0': 3.0612586277534457e-06, 'xi': 0.1329622135219483, 'q0': 0.7756772068120196, 'alpha': 1.8931956829423289, 'beta': 1.9972080014998133, 'rho': 0.18753105830604566, 'ants': 22}
Param 16: {'tau0': 1.6998009274389792e-06, 'xi': 0.07574288908876978, 'q0': 0.3437997878588728, 'alpha': 0.9960324515524092, 'beta': 0.6033193519507508, 'rho': 0.22849098583736227, 'ants': 30}
Param 17: {'tau0': 8.990632486830376e-06, 'xi': 0.09595706500151588, 'q0': 0.4417965567940394, 'alpha': 1.6457162341639056, 'beta': 1.8792939670585154, 'rho': 0.14228615039412212, 'ants': 30}
Param 18: {'tau0': 4.854876741746394e-06, 'xi': 0.1452545140568255, 'q0': 0.42195591018398276, 'alpha': 0.3555439034289861, 'beta': 0.8668501148752592, 'rho': 0.11887721475075397, 'ants': 32}
Param 19: {'tau0': 9.563421643378381e-06, 'xi': 0.09724359984230846, 'q0': 0.3832373282206037, 'alpha': 0.33412689971093434, 'beta': 0.5388896399688413, 'rho': 0.11521783790776492, 'ants': 25}
Param 20: {'tau0': 1.7311092028219667e-06, 'xi': 0.08252852050291277, 'q0': 0.30102382451999166, 'alpha': 1.4307200972470873, 'beta': 1.366990204180299, 'rho': 0.3910589486840866, 'ants': 12}
Param 21: {'tau0': 9.24915798617957e-06, 'xi': 0.05399113180694906, 'q0': 0.5348646852525689, 'alpha': 0.8177192610685395, 'beta': 1.9504865720120417, 'rho': 0.35361961105123524, 'ants': 16}
Param 22: {'tau0': 5.888779735025123e-06, 'xi': 0.14210673593322504, 'q0': 0.5532221197439141, 'alpha': 1.4492226579119356, 'beta': 1.732090480737235, 'rho': 0.42744550361996797, 'ants': 10}
Param 23: {'tau0': 7.905277958202082e-06, 'xi': 0.07780203477312476, 'q0': 0.5400401332579152, 'alpha': 1.238650111364569, 'beta': 1.1701509091931812, 'rho': 0.3657463607855648, 'ants': 16}
Param 24: {'tau0': 3.0123184321619356e-06, 'xi': 0.12162366348291398, 'q0': 0.6525057095214953, 'alpha': 0.3418731697773203, 'beta': 1.7855031617760102, 'rho': 0.2482497904794193, 'ants': 32}
Param 25: {'tau0': 5.471123269221564e-06, 'xi': 0.0880541662185767, 'q0': 0.30146902385350893, 'alpha': 1.0903620529266727, 'beta': 0.772236865018257, 'rho': 0.4288390189950044, 'ants': 23}
Param 26: {'tau0': 2.760703391532889e-06, 'xi': 0.11284095755067615, 'q0': 0.39431429333058177, 'alpha': 1.2851296972235255, 'beta': 1.3966465894197229, 'rho': 0.20591685095973755, 'ants': 13}
Param 27: {'tau0': 5.7232384546733595e-06, 'xi': 0.1429672685027304, 'q0': 0.57445047410033, 'alpha': 1.4195433954167913, 'beta': 1.4047255855017542, 'rho': 0.4106053256096564, 'ants': 31}
Param 28: {'tau0': 5.27015365896669e-06, 'xi': 0.12993599333145528, 'q0': 0.31614692226037566, 'alpha': 1.9457803192705339, 'beta': 1.0826765605366773, 'rho': 0.462237565316319, 'ants': 26}
Param 29: {'tau0': 4.060261844275314e-06, 'xi': 0.08488866370438058, 'q0': 0.7517708033130077, 'alpha': 0.7568921075953849, 'beta': 1.442677676309637, 'rho': 0.31238065733584786, 'ants': 26}
Param 30: {'tau0': 9.519734246967097e-06, 'xi': 0.07937813294122376, 'q0': 0.41673979688805995, 'alpha': 1.6749976300577816, 'beta': 0.7383106546614165, 'rho': 0.29031514757956295, 'ants': 27}
Param 31: {'tau0': 2.924453704862743e-06, 'xi': 0.10102715591656777, 'q0': 0.8483785554218048, 'alpha': 1.0515532863745962, 'beta': 0.39867352753450425, 'rho': 0.28727195311451986, 'ants': 26}
Param 32: {'tau0': 5.984400518709856e-06, 'xi': 0.13241385165248287, 'q0': 0.4542903648549634, 'alpha': 0.4898957854025313, 'beta': 0.29966337375676566, 'rho': 0.06680927871977722, 'ants': 9}
Param 33: {'tau0': 9.767241690470751e-06, 'xi': 0.11665997591227979, 'q0': 0.8943962543294219, 'alpha': 1.1523918797969719, 'beta': 1.0104719425759585, 'rho': 0.28187790444783706, 'ants': 10}
Param 34: {'tau0': 8.613914963906393e-06, 'xi': 0.14574697859969848, 'q0': 0.4568549694035073, 'alpha': 1.0997466880204505, 'beta': 1.26467494952901, 'rho': 0.20648622793681415, 'ants': 10}
Param 35: {'tau0': 6.916816029978271e-06, 'xi': 0.13109583259981678, 'q0': 0.7096508529113955, 'alpha': 0.8294099029859726, 'beta': 1.23731470593669, 'rho': 0.12314043168046776, 'ants': 23}
Param 36: {'tau0': 7.199516623553175e-06, 'xi': 0.11757684122784635, 'q0': 0.8950304976400971, 'alpha': 1.7862372914817117, 'beta': 1.3396042945590478, 'rho': 0.08070539620138223, 'ants': 25}
